seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
1138,1728464324803174,842,1218,2520,38,8,1403,875,(57.61372375488281-633.7801513671875j),(579.7774047851562+405.86090087890625j),(-631.1181640625+282.8590087890625j),(-396.62017822265625-223.97850036621094j),(345.072265625-162.30767822265625j),(-12.20229721069336+458.79827880859375j)
1139,1728464324804016,842,1520,2017,9,166,1480,618,(223.22666931152344-596.3240966796875j),(451.55645751953125+541.1723022460938j),(-684.1507568359375+109.51953125j),(-323.56610107421875-318.5788879394531j),(376.4897155761719-67.15316772460938j),(-133.792236328125+439.1333923339844j)
1140,1728464324804858,842,1823,1735,0,376,1513,401,(373.18017578125-517.3667602539062j),(293.12603759765625+638.8056640625j),(-689.546875-71.38056182861328j),(-228.11448669433594-390.94024658203125j),(381.5246276855469+32.707130432128906j),(-245.22378540039062+388.9168395996094j)
1141,1728464324805701,843,2079,1443,0,621,1472,220,(496.9445495605469-402.46160888671875j),(115.10639953613281+692.1829833984375j),(-647.41552734375-247.373046875j),(-116.9453125-436.0664978027344j),(359.37506103515625+130.15516662597656j),(-339.86138916015625+311.57073974609375j)
1142,1728464324806543,842,2416,1098,141,871,1392,79,(594.19775390625-257.444091796875j),(-71.38687896728516+697.4725341796875j),(-561.008544921875-406.42120361328125j),(2.276386022567749-450.8393249511719j),(313.12103271484375+218.64707946777344j),(-410.6116943359375+212.53868103027344j)
1143,1728464324807385,842,2496,792,370,1103,1248,5,(641.6690673828125-94.59101867675781j),(-252.65310668945312+654.3784790039062j),(-434.972412109375-537.3087158203125j),(121.17869567871094-434.27349853515625j),(243.68832397460938+291.65618896484375j),(-452.79669189453125+98.7097396850586j)
1144,1728464324808227,842,2499,477,656,1300,1074,0,(644.5281982421875+74.77297973632812j),(-417.313720703125+565.6435546875j),(-278.38885498046875-630.8569946289062j),(231.4199676513672-387.5841979980469j),(157.96682739257812+344.27178955078125j),(-463.1171875-21.90003776550293j)
1145,1728464324809069,842,2447,210,968,1487,873,0,(602.77099609375+238.92269897460938j),(-552.5521850585938+437.5413818359375j),(-102.4054183959961-680.5506591796875j),(325.74029541015625-313.9748229980469j),(60.62260055541992+372.66015625j),(-441.668701171875-141.01736450195312j)
1146,1728464324809911,842,2357,30,1333,1605,663,51,(519.7906494140625+386.62847900390625j),(-648.6990966796875+279.15777587890625j),(81.08712768554688-682.8306884765625j),(396.7085876464844-218.75291442871094j),(-40.34967041015625+374.9945068359375j),(-390.1212158203125-250.5245819091797j)
1147,1728464324810753,842,1920,0,1781,1712,481,224,(399.31585693359375+507.26361083984375j),(-698.0819091796875+101.95494079589844j),(258.91741943359375-637.5415649414062j),(440.5329284667969-108.42924499511719j),(-138.16360473632812+351.20208740234375j),(-310.6192626953125-342.59234619140625j)
1148,1728464324811596,843,1652,36,2053,1763,327,426,(251.84422302246094+592.639404296875j),(-699.1940307617188-81.79696655273438j),(414.25775146484375-549.0316162109375j),(454.1491394042969+9.434684753417969j),(-226.7281494140625+302.83953857421875j),(-210.5205535888672-411.08648681640625j)
1149,1728464324812438,842,1332,5,2361,1790,146,681,(86.73722839355469+636.78662109375j),(-655.6478271484375-260.3627624511719j),(546.8704833984375-421.8658142089844j),(436.5947265625+126.7527084350586j),(-299.8785095214844+233.1703338623047j),(-93.93171691894531-450.7569580078125j)
1150,1728464324813281,843,1028,137,2587,1702,47,914,(-83.8883056640625+636.772216796875j),(-565.9203491210938-421.1852722167969j),(643.017578125-264.45159912109375j),(388.1474304199219+235.22784423828125j),(-351.1764831542969+147.29824829101562j),(27.66403579711914-459.245361328125j)
1151,1728464324814123,842,708,373,2652,1525,0,1175,(-249.38037109375+592.413818359375j),(-435.3322448730469-552.6900024414062j),(690.3975830078125-88.78897094726562j),(312.269287109375+327.1980895996094j),(-378.66217041015625+51.032135009765625j),(148.4806365966797-435.6605224609375j)
1152,1728464324814975,852,421,658,2663,1309,2,1367,(-397.55145263671875+506.788330078125j),(-274.99688720703125-645.8720092773438j),(690.1348876953125+92.99996185302734j),(215.2132568359375+396.4066162109375j),(-378.9676513671875-48.711727142333984j),(258.23114013671875-381.8361511230469j)
1153,1728464324815817,842,174,966,2606,1080,0,1552,(-518.190185546875+385.8172302246094j),(-95.52461242675781-694.2516479492188j),(642.0256958007812+268.3109130859375j),(102.98839569091797+437.9859619140625j),(-353.52764892578125-145.15753173828125j),(350.5124206542969-301.3863830566406j)
1154,1728464324816659,842,2,1301,2508,818,87,1681,(-602.4829711914062+237.99258422851562j),(90.87709045410156-694.3917236328125j),(550.1417846679688+425.1859130859375j),(-16.737491607666016+448.95166015625j),(-303.91192626953125-231.71109008789062j),(417.94189453125-200.0309295654297j)
1155,1728464324817501,842,0,1694,2063,587,242,1760,(-643.63134765625+73.92754364013672j),(270.5208435058594-646.4013671875j),(419.17657470703125+552.5029296875j),(-134.69873046875+428.696533203125j),(-232.0155029296875-302.0533447265625j),(455.8349304199219-84.9466552734375j)
1156,1728464324818344,843,0,1934,1774,389,428,1791,(-640.833984375-95.17552947998047j),(428.12109375-554.4892578125j),(258.39373779296875+641.2294921875j),(-243.35789489746094+378.6117858886719j),(-143.88002014160156-351.26116943359375j),(462.48974609375+35.98051071166992j)
1157,1728464324819186,842,0,2383,1450,234,650,1768,(-594.3648681640625-257.79254150390625j),(560.9495849609375-423.7435302734375j),(80.12529754638672+685.319091796875j),(-334.5467529296875+302.32623291015625j),(-46.25324249267578-376.04583740234375j),(437.13665771484375+154.38018798828125j)
1158,1728464324820029,843,123,2668,1088,107,889,1682,(-506.98828125-402.7336120605469j),(656.2576904296875-262.8478698730469j),(-104.12397766113281+681.5946044921875j),(-403.20623779296875+204.95233154296875j),(53.495811462402344-374.9771423339844j),(381.96307373046875+262.1728210449219j)
1159,1728464324820871,842,395,2861,736,0,965,1509,(-382.137451171875-519.3339233398438j),(701.684814453125-84.10425567626953j),(-281.17138671875+630.299072265625j),(-444.9277038574219+92.96426391601562j),(151.5817413330078-347.5887145996094j),(299.080322265625+351.55963134765625j)
1160,1728464324821713,842,682,2886,413,0,1138,1304,(-232.85159301757812-600.0464477539062j),(699.5030517578125+100.3601303100586j),(-439.030517578125+534.8956909179688j),(-453.82806396484375-25.359180450439453j),(242.81878662109375-294.7872009277344j),(195.84649658203125+416.4382019042969j)
1161,1728464324822555,842,983,2734,169,0,1320,1070,(-66.27342224121094-638.9716796875j),(648.0025634765625+277.5322265625j),(-565.892822265625+402.1342468261719j),(-431.80084228515625-141.95443725585938j),(311.4451904296875-221.7346649169922j),(78.65426635742188+452.20391845703125j)
1162,1728464324823397,842,1306,2435,5,47,1432,794,(104.46184539794922-633.521728515625j),(551.7172241210938+435.1546630859375j),(-652.984619140625+241.3533172607422j),(-380.3470458984375-248.875732421875j),(359.6709899902344-133.18307495117188j),(-44.20405197143555+456.3114929199219j)
1163,1728464324824239,842,1600,1943,0,215,1492,560,(268.04937744140625-584.0463256835938j),(415.86444091796875+561.935791015625j),(-693.322265625+64.09219360351562j),(-301.4438781738281-338.4267578125j),(382.5700378417969-35.37193298339844j),(-163.45623779296875+428.6104431152344j)
1164,1728464324825082,843,1887,1668,4,431,1496,343,(413.57958984375-493.8309020996094j),(253.35671997070312+649.6455078125j),(-686.2056884765625-117.51512908935547j),(-201.48831176757812-404.353759765625j),(378.9306640625+64.91444396972656j),(-271.4754333496094+370.98858642578125j)
1165,1728464324825924,842,2328,1358,8,680,1464,178,(529.755126953125-369.3039245605469j),(73.32317352294922+692.2094116210938j),(-632.4891357421875-291.13555908203125j),(-87.47298431396484-442.05615234375j),(349.539794921875+160.86328125j),(-359.8941650390625+287.64227294921875j)
1166,1728464324826766,842,2443,1019,184,928,1338,50,(608.89697265625-219.17813110351562j),(-111.91419982910156+686.6405639648438j),(-533.7750244140625-444.4302978515625j),(32.05323028564453-449.06158447265625j),(294.74737548828125+245.5152587890625j),(-423.64801025390625+184.27305603027344j)
