seq_no=172,	ch0=1480, ch1= 709, ch2= 125, ch3=1712, ch4= 401, ch5= 335, ts=1712137608676429,	delta=844,
seq_no=173,	ch0=1532, ch1= 497, ch2= 288, ch3=1728, ch4= 239, ch5= 548, ts=1712137608677273,	delta=844,
seq_no=174,	ch0=1535, ch1= 307, ch2= 485, ch3=1656, ch4= 102, ch5= 757, ts=1712137608678117,	delta=844,
seq_no=175,	ch0=1487, ch1= 146, ch2= 705, ch3=1526, ch4=   2, ch5= 975, ts=1712137608678962,	delta=845,
seq_no=176,	ch0=1386, ch1=  33, ch2= 931, ch3=1333, ch4=   0, ch5=1157, ts=1712137608679801,	delta=839,
seq_no=177,	ch0=1242, ch1=   0, ch2=1170, ch3=1116, ch4=   0, ch5=1317, ts=1712137608680640,	delta=839,
seq_no=178,	ch0=1080, ch1=   0, ch2=1363, ch3= 890, ch4=  43, ch5=1449, ts=1712137608681494,	delta=854,
seq_no=179,	ch0= 861, ch1=   0, ch2=1533, ch3= 663, ch4= 128, ch5=1547, ts=1712137608682331,	delta=837,
seq_no=180,	ch0= 645, ch1= 141, ch2=1729, ch3= 480, ch4= 401, ch5=1625, ts=1712137608683173,	delta=842,
seq_no=181,	ch0= 455, ch1= 241, ch2=1731, ch3= 304, ch4= 501, ch5=1605, ts=1712137608684012,	delta=839,
seq_no=182,	ch0= 266, ch1= 467, ch2=1758, ch3= 158, ch4= 778, ch5=1546, ts=1712137608684856,	delta=844,
seq_no=183,	ch0= 109, ch1= 672, ch2=1686, ch3=  37, ch4= 974, ch5=1405, ts=1712137608685709,	delta=853,
seq_no=184,	ch0=   1, ch1= 880, ch2=1559, ch3=   0, ch4=1139, ch5=1217, ts=1712137608686547,	delta=838,
seq_no=185,	ch0=   0, ch1=1091, ch2=1392, ch3=   0, ch4=1306, ch5=1000, ts=1712137608687384,	delta=837,
seq_no=186,	ch0=   0, ch1=1275, ch2=1183, ch3=  28, ch4=1428, ch5= 785, ts=1712137608688228,	delta=844,
seq_no=187,	ch0=   4, ch1=1443, ch2= 967, ch3= 175, ch4=1523, ch5= 591, ts=1712137608689067,	delta=839,
seq_no=188,	ch0= 108, ch1=1542, ch2= 736, ch3= 356, ch4=1561, ch5= 418, ts=1712137608689916,	delta=849,
seq_no=189,	ch0= 272, ch1=1561, ch2= 506, ch3= 591, ch4=1616, ch5= 235, ts=1712137608690753,	delta=837,
seq_no=190,	ch0= 436, ch1=1607, ch2= 304, ch3= 809, ch4=1479, ch5= 101, ts=1712137608691594,	delta=841,
seq_no=191,	ch0= 644, ch1=1476, ch2= 129, ch3=1042, ch4=1385, ch5=   0, ts=1712137608692438,	delta=844,
seq_no=192,	ch0= 842, ch1=1487, ch2=  34, ch3=1201, ch4=1152, ch5=   0, ts=1712137608693308,	delta=870,
seq_no=193,	ch0=1088, ch1=1345, ch2=   0, ch3=1394, ch4= 948, ch5=   0, ts=1712137608694141,	delta=833,
seq_no=194,	ch0=1242, ch1=1093, ch2=   0, ch3=1533, ch4= 736, ch5=  34, ts=1712137608694976,	delta=835,
seq_no=195,	ch0=1387, ch1= 885, ch2=  30, ch3=1648, ch4= 546, ch5= 192, ts=1712137608695817,	delta=841,
seq_no=196,	ch0=1487, ch1= 673, ch2= 142, ch3=1716, ch4= 373, ch5= 374, ts=1712137608696657,	delta=840,
seq_no=197,	ch0=1542, ch1= 476, ch2= 320, ch3=1720, ch4= 218, ch5= 589, ts=1712137608697505,	delta=848,
seq_no=198,	ch0=1542, ch1= 273, ch2= 519, ch3=1649, ch4=  88, ch5= 812, ts=1712137608698385,	delta=880,
seq_no=199,	ch0=1486, ch1=  83, ch2= 738, ch3=1494, ch4=   0, ch5= 994, ts=1712137608699205,	delta=820,
seq_no=200,	ch0=1355, ch1=  14, ch2= 986, ch3=1302, ch4=   1, ch5=1185, ts=1712137608700034,	delta=829,
seq_no=201,	ch0=1216, ch1=   0, ch2=1202, ch3=1088, ch4=   0, ch5=1336, ts=1712137608700870,	delta=836,
seq_no=202,	ch0=1020, ch1=   0, ch2=1404, ch3= 852, ch4=  66, ch5=1475, ts=1712137608701726,	delta=856,
seq_no=203,	ch0= 820, ch1= 118, ch2=1546, ch3= 680, ch4= 220, ch5=1530, ts=1712137608702553,	delta=827,
seq_no=204,	ch0= 576, ch1= 141, ch2=1693, ch3= 373, ch4= 394, ch5=1606, ts=1712137608703396,	delta=843,
seq_no=205,	ch0= 438, ch1= 380, ch2=1743, ch3= 325, ch4= 624, ch5=1584, ts=1712137608704238,	delta=842,
seq_no=206,	ch0= 246, ch1= 492, ch2=1736, ch3= 138, ch4= 814, ch5=1528, ts=1712137608705081,	delta=843,
seq_no=207,	ch0=  97, ch1= 705, ch2=1661, ch3=  26, ch4= 996, ch5=1379, ts=1712137608705935,	delta=854,
seq_no=208,	ch0=   0, ch1= 911, ch2=1533, ch3=   4, ch4=1167, ch5=1177, ts=1712137608706763,	delta=828,
seq_no=209,	ch0=   0, ch1=1115, ch2=1369, ch3=   0, ch4=1321, ch5= 972, ts=1712137608707607,	delta=844,
seq_no=210,	ch0=   0, ch1=1306, ch2=1158, ch3=  43, ch4=1454, ch5= 748, ts=1712137608708451,	delta=844,
seq_no=211,	ch0=  16, ch1=1459, ch2= 906, ch3= 203, ch4=1551, ch5= 604, ts=1712137608709293,	delta=842,
seq_no=212,	ch0=  89, ch1=1552, ch2= 693, ch3= 450, ch4=1564, ch5= 390, ts=1712137608710195,	delta=902,
seq_no=213,	ch0= 293, ch1=1602, ch2= 460, ch3= 640, ch4=1545, ch5= 181, ts=1712137608710994,	delta=799,
seq_no=214,	ch0= 458, ch1=1589, ch2= 273, ch3= 883, ch4=1447, ch5=  86, ts=1712137608711825,	delta=831,
seq_no=215,	ch0= 682, ch1=1640, ch2=  96, ch3=1067, ch4=1293, ch5=   0, ts=1712137608712668,	delta=843,
seq_no=216,	ch0= 798, ch1=1405, ch2=   0, ch3=1311, ch4=1101, ch5=  22, ts=1712137608713519,	delta=851,
seq_no=217,	ch0=1088, ch1=1240, ch2=   0, ch3=1409, ch4= 916, ch5=  43, ts=1712137608714349,	delta=830,
seq_no=218,	ch0=1260, ch1=1075, ch2=   0, ch3=1552, ch4= 714, ch5=  64, ts=1712137608715191,	delta=842,
seq_no=219,	ch0=1401, ch1= 855, ch2=  43, ch3=1661, ch4= 529, ch5= 219, ts=1712137608716036,	delta=845,
seq_no=220,	ch0=1501, ch1= 633, ch2= 170, ch3=1716, ch4= 354, ch5= 414, ts=1712137608716877,	delta=841,
seq_no=221,	ch0=1540, ch1= 431, ch2= 350, ch3=1715, ch4= 194, ch5= 628, ts=1712137608717730,	delta=853,
seq_no=222,	ch0=1540, ch1= 245, ch2= 560, ch3=1628, ch4=  66, ch5= 841, ts=1712137608718564,	delta=834,
seq_no=223,	ch0=1464, ch1= 100, ch2= 781, ch3=1474, ch4=   0, ch5=1029, ts=1712137608719403,	delta=839,
seq_no=224,	ch0=1353, ch1=   0, ch2=1029, ch3=1265, ch4=   0, ch5=1216, ts=1712137608720244,	delta=841,
seq_no=225,	ch0=1184, ch1=   0, ch2=1245, ch3=1037, ch4=   0, ch5=1378, ts=1712137608721088,	delta=844,
seq_no=226,	ch0=1015, ch1=   0, ch2=1439, ch3= 810, ch4=  45, ch5=1490, ts=1712137608721939,	delta=851,
