seq=167,	ch0=2463,	ch1= 946,	ch2= 226,	ch3= 213,	ch4= 424,	ch5=  32,	time=1728464082113063,	delta=842,	
seq=168,	ch0=2560,	ch1= 628,	ch2= 453,	ch3= 286,	ch4= 404,	ch5=   0,	time=1728464082113905,	delta=842,	
seq=169,	ch0=2527,	ch1= 343,	ch2= 772,	ch3= 356,	ch4= 330,	ch5=   0,	time=1728464082114747,	delta=842,	
seq=170,	ch0=2382,	ch1= 237,	ch2=1126,	ch3= 423,	ch4= 308,	ch5=   0,	time=1728464082115589,	delta=842,	
seq=171,	ch0=2286,	ch1=  31,	ch2=1491,	ch3= 473,	ch4= 229,	ch5=   0,	time=1728464082116431,	delta=842,	
seq=172,	ch0=1810,	ch1=   2,	ch2=1827,	ch3= 502,	ch4= 141,	ch5=  18,	time=1728464082117273,	delta=842,	
seq=173,	ch0=1518,	ch1=   5,	ch2=2126,	ch3= 531,	ch4=  91,	ch5=  68,	time=1728464082118115,	delta=842,	
seq=174,	ch0=1206,	ch1=  53,	ch2=2525,	ch3= 542,	ch4=  36,	ch5= 141,	time=1728464082118957,	delta=842,	
seq=175,	ch0= 882,	ch1= 245,	ch2=2629,	ch3= 525,	ch4=   8,	ch5= 231,	time=1728464082119799,	delta=842,	
seq=176,	ch0= 577,	ch1= 516,	ch2=2672,	ch3= 493,	ch4=   0,	ch5= 320,	time=1728464082120641,	delta=842,	
seq=177,	ch0= 305,	ch1= 794,	ch2=2650,	ch3= 442,	ch4=  21,	ch5= 382,	time=1728464082121483,	delta=842,	
seq=178,	ch0=  87,	ch1=1125,	ch2=2565,	ch3= 377,	ch4=   8,	ch5= 439,	time=1728464082122325,	delta=842,	
seq=179,	ch0=   0,	ch1=1457,	ch2=2372,	ch3= 298,	ch4=  10,	ch5= 489,	time=1728464082123167,	delta=842,	
seq=180,	ch0=  13,	ch1=1714,	ch2=1939,	ch3= 226,	ch4=  79,	ch5= 526,	time=1728464082124008,	delta=841,	
seq=181,	ch0=   1,	ch1=2012,	ch2=1627,	ch3= 149,	ch4=   0,	ch5= 546,	time=1728464082124850,	delta=842,	
seq=182,	ch0=  66,	ch1=2544,	ch2=1292,	ch3=  74,	ch4=  54,	ch5= 537,	time=1728464082125691,	delta=841,	
seq=183,	ch0= 249,	ch1=2835,	ch2= 922,	ch3=  37,	ch4= 216,	ch5= 530,	time=1728464082126533,	delta=842,	
seq=184,	ch0= 511,	ch1=2929,	ch2= 581,	ch3=   2,	ch4= 282,	ch5= 489,	time=1728464082127375,	delta=842,	
seq=185,	ch0= 806,	ch1=2851,	ch2= 298,	ch3=   0,	ch4= 325,	ch5= 440,	time=1728464082128217,	delta=842,	
seq=186,	ch0=1136,	ch1=2615,	ch2=  74,	ch3=   0,	ch4= 375,	ch5= 358,	time=1728464082129059,	delta=842,	
seq=187,	ch0=1441,	ch1=2177,	ch2=  16,	ch3=   0,	ch4= 405,	ch5= 277,	time=1728464082129900,	delta=841,	
seq=188,	ch0=1742,	ch1=1824,	ch2=   8,	ch3=  17,	ch4= 431,	ch5= 195,	time=1728464082130742,	delta=842,	
seq=189,	ch0=1971,	ch1=1506,	ch2=   0,	ch3=  74,	ch4= 438,	ch5= 122,	time=1728464082131584,	delta=842,	
seq=190,	ch0=2384,	ch1=1196,	ch2=  85,	ch3= 148,	ch4= 434,	ch5=  71,	time=1728464082132426,	delta=842,	
seq=191,	ch0=2488,	ch1= 864,	ch2= 301,	ch3= 232,	ch4= 419,	ch5=  31,	time=1728464082133268,	delta=842,	
seq=192,	ch0=2491,	ch1= 545,	ch2= 576,	ch3= 265,	ch4= 370,	ch5=   0,	time=1728464082134182,	delta=914,	
seq=193,	ch0=2462,	ch1= 274,	ch2= 889,	ch3= 346,	ch4= 346,	ch5=   5,	time=1728464082135024,	delta=842,	
seq=194,	ch0=2380,	ch1= 111,	ch2=1233,	ch3= 415,	ch4= 276,	ch5=   2,	time=1728464082135866,	delta=842,	
seq=195,	ch0=2053,	ch1=  10,	ch2=1585,	ch3= 469,	ch4= 192,	ch5=   0,	time=1728464082136708,	delta=842,	
