seq=162,	ch0=  31,	ch1= 752,	ch2= 404,	ch3=   0,	ch4= 334,	ch5= 413,	time=1728462775418964,	delta=841,	
seq=163,	ch0=  98,	ch1= 799,	ch2= 266,	ch3=   0,	ch4= 383,	ch5= 348,	time=1728462775419805,	delta=841,	
seq=164,	ch0= 203,	ch1= 926,	ch2= 164,	ch3=  23,	ch4= 426,	ch5= 250,	time=1728462775420646,	delta=841,	
seq=165,	ch0= 325,	ch1= 855,	ch2=  87,	ch3=  18,	ch4= 448,	ch5= 181,	time=1728462775421487,	delta=841,	
seq=166,	ch0= 362,	ch1= 683,	ch2=  17,	ch3= 104,	ch4= 500,	ch5= 110,	time=1728462775422329,	delta=842,	
seq=167,	ch0= 495,	ch1= 674,	ch2=   0,	ch3= 154,	ch4= 448,	ch5=  69,	time=1728462775423170,	delta=841,	
seq=168,	ch0= 595,	ch1= 587,	ch2=   0,	ch3= 221,	ch4= 421,	ch5=  26,	time=1728462775424011,	delta=841,	
seq=169,	ch0= 674,	ch1= 477,	ch2=   0,	ch3= 290,	ch4= 378,	ch5=   0,	time=1728462775424852,	delta=841,	
seq=170,	ch0= 740,	ch1= 378,	ch2=  25,	ch3= 349,	ch4= 330,	ch5=   0,	time=1728462775425693,	delta=841,	
seq=171,	ch0= 777,	ch1= 277,	ch2= 106,	ch3= 403,	ch4= 271,	ch5=   0,	time=1728462775426534,	delta=841,	
seq=172,	ch0= 756,	ch1= 158,	ch2= 206,	ch3= 503,	ch4= 192,	ch5=   1,	time=1728462775427375,	delta=841,	
seq=173,	ch0= 743,	ch1=  79,	ch2= 313,	ch3= 523,	ch4= 133,	ch5=  42,	time=1728462775428217,	delta=842,	
seq=174,	ch0= 701,	ch1=  11,	ch2= 437,	ch3= 514,	ch4=  87,	ch5= 105,	time=1728462775429059,	delta=842,	
seq=175,	ch0= 644,	ch1=   0,	ch2= 543,	ch3= 517,	ch4=  43,	ch5= 169,	time=1728462775429900,	delta=841,	
seq=176,	ch0= 546,	ch1=   0,	ch2= 650,	ch3= 494,	ch4=  13,	ch5= 240,	time=1728462775430752,	delta=852,	
seq=177,	ch0= 458,	ch1=   0,	ch2= 836,	ch3= 448,	ch4=  18,	ch5= 336,	time=1728462775431593,	delta=841,	
seq=178,	ch0= 349,	ch1=  42,	ch2= 885,	ch3= 388,	ch4=  18,	ch5= 398,	time=1728462775432434,	delta=841,	
