seq=145,	ch0= 186,	ch1=1581,	ch2= 522,	ch3= 105,	ch4=  70,	ch5= 153,	time=1728462964673577,	delta=842,	
seq=146,	ch0= 375,	ch1=1632,	ch2= 386,	ch3= 117,	ch4=  75,	ch5=  79,	time=1728462964674419,	delta=842,	
seq=147,	ch0= 586,	ch1=1607,	ch2= 193,	ch3= 111,	ch4=  76,	ch5=  85,	time=1728462964675261,	delta=842,	
seq=148,	ch0= 803,	ch1=1525,	ch2=  64,	ch3= 117,	ch4=  68,	ch5=  85,	time=1728462964676103,	delta=842,	
seq=149,	ch0=1013,	ch1=1383,	ch2=   0,	ch3= 117,	ch4=  85,	ch5=  74,	time=1728462964676945,	delta=842,	
seq=150,	ch0=1200,	ch1=1204,	ch2=   0,	ch3= 116,	ch4=  73,	ch5=  86,	time=1728462964677786,	delta=841,	
seq=151,	ch0=1458,	ch1= 983,	ch2=   0,	ch3= 122,	ch4=  64,	ch5=  81,	time=1728462964678627,	delta=841,	
seq=152,	ch0=1543,	ch1= 775,	ch2=  96,	ch3= 113,	ch4=  65,	ch5=  82,	time=1728462964679469,	delta=842,	
seq=153,	ch0=1559,	ch1= 564,	ch2= 240,	ch3= 141,	ch4=  64,	ch5=  79,	time=1728462964680311,	delta=842,	
seq=154,	ch0=1586,	ch1= 357,	ch2= 438,	ch3= 109,	ch4=  73,	ch5=  79,	time=1728462964681153,	delta=842,	
seq=155,	ch0=1551,	ch1= 218,	ch2= 640,	ch3=  95,	ch4=  85,	ch5=  70,	time=1728462964681995,	delta=842,	
seq=156,	ch0=1459,	ch1=  92,	ch2= 953,	ch3= 117,	ch4=  92,	ch5=  85,	time=1728462964682837,	delta=842,	
seq=157,	ch0=1304,	ch1=  26,	ch2=1029,	ch3= 109,	ch4=  58,	ch5= 181,	time=1728462964683679,	delta=842,	
seq=158,	ch0=1132,	ch1=   0,	ch2=1333,	ch3= 125,	ch4=  72,	ch5=  79,	time=1728462964684520,	delta=841,	
seq=159,	ch0= 927,	ch1=   0,	ch2=1497,	ch3= 129,	ch4=  77,	ch5=  85,	time=1728462964685362,	delta=842,	
seq=160,	ch0= 714,	ch1=  93,	ch2=1634,	ch3= 124,	ch4=  79,	ch5=  86,	time=1728462964686208,	delta=846,	
seq=161,	ch0= 506,	ch1= 233,	ch2=1711,	ch3= 128,	ch4=  64,	ch5=  82,	time=1728462964687050,	delta=842,	
seq=162,	ch0= 311,	ch1= 429,	ch2=1730,	ch3= 138,	ch4=  78,	ch5=  79,	time=1728462964687892,	delta=842,	
seq=163,	ch0= 155,	ch1= 626,	ch2=1673,	ch3= 130,	ch4=  65,	ch5=  92,	time=1728462964688734,	delta=842,	
seq=164,	ch0=  26,	ch1= 847,	ch2=1569,	ch3= 125,	ch4=  64,	ch5=  65,	time=1728462964689576,	delta=842,	
seq=165,	ch0=   0,	ch1=1072,	ch2=1419,	ch3= 124,	ch4=  72,	ch5=  76,	time=1728462964690417,	delta=841,	
seq=166,	ch0=   0,	ch1=1266,	ch2=1218,	ch3= 128,	ch4=  69,	ch5=  86,	time=1728462964691258,	delta=841,	
seq=167,	ch0=   0,	ch1=1419,	ch2=1002,	ch3= 177,	ch4=  64,	ch5= 113,	time=1728462964692099,	delta=841,	
seq=168,	ch0=  33,	ch1=1535,	ch2= 762,	ch3=  58,	ch4=  64,	ch5=  57,	time=1728462964692941,	delta=842,	
