seq=185,	ch0= 192,	ch1= 858,	ch2= 208,	ch3=   0,	ch4= 461,	ch5= 406,	time=1728462796661918,	delta=842,	
seq=186,	ch0= 234,	ch1= 706,	ch2= 117,	ch3=  17,	ch4= 608,	ch5= 334,	time=1728462796662760,	delta=842,	
seq=187,	ch0= 347,	ch1= 759,	ch2=  41,	ch3=  42,	ch4= 554,	ch5= 255,	time=1728462796663601,	delta=841,	
seq=188,	ch0= 468,	ch1= 696,	ch2=   0,	ch3= 110,	ch4= 576,	ch5= 165,	time=1728462796664443,	delta=842,	
seq=189,	ch0= 562,	ch1= 605,	ch2=   0,	ch3= 188,	ch4= 564,	ch5=  90,	time=1728462796665284,	delta=841,	
seq=190,	ch0= 650,	ch1= 521,	ch2=   0,	ch3= 266,	ch4= 530,	ch5=  28,	time=1728462796666125,	delta=841,	
seq=191,	ch0= 720,	ch1= 416,	ch2=  20,	ch3= 355,	ch4= 469,	ch5=   0,	time=1728462796666966,	delta=841,	
seq=192,	ch0= 747,	ch1= 298,	ch2=  93,	ch3= 456,	ch4= 412,	ch5=   0,	time=1728462796667812,	delta=846,	
seq=193,	ch0= 781,	ch1= 203,	ch2= 178,	ch3= 496,	ch4= 341,	ch5=   0,	time=1728462796668654,	delta=842,	
seq=194,	ch0= 757,	ch1= 122,	ch2= 290,	ch3= 586,	ch4= 261,	ch5=   8,	time=1728462796669495,	delta=841,	
seq=195,	ch0= 714,	ch1=  34,	ch2= 389,	ch3= 626,	ch4= 188,	ch5=  55,	time=1728462796670337,	delta=842,	
