seq=115,	ch0= 732,	ch1= 399,	ch2=  26,	ch3= 308,	ch4= 111,	ch5=   5,	time=1728462666237637,	delta=841,	
seq=116,	ch0= 773,	ch1= 288,	ch2=  90,	ch3= 327,	ch4=  65,	ch5=  42,	time=1728462666238478,	delta=841,	
seq=117,	ch0= 788,	ch1= 184,	ch2= 184,	ch3= 342,	ch4=  33,	ch5=  85,	time=1728462666239319,	delta=841,	
seq=118,	ch0= 778,	ch1= 101,	ch2= 288,	ch3= 320,	ch4=  18,	ch5= 136,	time=1728462666240160,	delta=841,	
seq=119,	ch0= 730,	ch1=  26,	ch2= 421,	ch3= 298,	ch4=   0,	ch5= 189,	time=1728462666241001,	delta=841,	
seq=120,	ch0= 655,	ch1=   0,	ch2= 593,	ch3= 264,	ch4=   0,	ch5= 232,	time=1728462666241842,	delta=841,	
seq=121,	ch0= 577,	ch1=   2,	ch2= 692,	ch3= 221,	ch4=   0,	ch5= 285,	time=1728462666242683,	delta=841,	
seq=122,	ch0= 476,	ch1=   0,	ch2= 756,	ch3= 173,	ch4=   0,	ch5= 300,	time=1728462666243524,	delta=841,	
seq=123,	ch0= 381,	ch1=  30,	ch2= 840,	ch3= 137,	ch4=  11,	ch5= 404,	time=1728462666244365,	delta=841,	
seq=124,	ch0= 258,	ch1=  79,	ch2= 749,	ch3=  79,	ch4=  36,	ch5= 423,	time=1728462666245206,	delta=841,	
seq=125,	ch0= 200,	ch1= 207,	ch2= 811,	ch3=  53,	ch4=  79,	ch5= 320,	time=1728462666246047,	delta=841,	
seq=126,	ch0=  74,	ch1= 282,	ch2= 832,	ch3=  22,	ch4= 130,	ch5= 330,	time=1728462666246889,	delta=842,	
seq=127,	ch0=   8,	ch1= 394,	ch2= 785,	ch3=   0,	ch4= 170,	ch5= 312,	time=1728462666247730,	delta=841,	
seq=128,	ch0=   0,	ch1= 501,	ch2= 709,	ch3=   0,	ch4= 206,	ch5= 277,	time=1728462666248576,	delta=846,	
seq=129,	ch0=   0,	ch1= 604,	ch2= 613,	ch3=   0,	ch4= 242,	ch5= 234,	time=1728462666249417,	delta=841,	
